2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:05:06  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:05:06  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:05:06  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:05:06  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:05:48  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:35:48 GMT'), (b'Content-Length', b'617')])
2026-08-02 00:05:48  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:05:48  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:05:48  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:05:48  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:05:48  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:05:48  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=316
2026-08-02 00:05:48  WARNING   parsers.image_parser  Ollama Vision call timed out (30s) for 'C:\Users\acer\Documents\Aadhisesha\Aadhi_Passport_raw.JPG'; falling back to Tesseract.
2026-08-02 00:05:53  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_9mmu48sl_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_9mmu48sl', '-l', 'eng', 'txt']
2026-08-02 00:05:53  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:05:53  DEBUG     httpcore.connection  close.started
2026-08-02 00:05:53  DEBUG     httpcore.connection  close.complete
2026-08-02 00:05:53  DEBUG     httpcore.connection  connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-08-02 00:05:53  DEBUG     httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000026535BB9F30>
2026-08-02 00:05:53  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:05:53  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:05:53  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:05:53  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:05:53  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:05:54  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:35:54 GMT'), (b'Content-Length', b'578')])
